,RandomForest,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost,K-nearest-neighbor
remove_outliers_lof + features_selection_extratrees + oversampling_none,0.9084449303088276,0.9089435287760065,0.8787878787878788,0.9035040431266845,0.9014159764894469,0.8777629826897471,0.8975986751311068,0.8994368463395012
remove_outliers_lof + features_selection_extratrees + oversampling_smote,0.9073464912280701,0.9030470914127423,0.8712759977515458,0.9021769082391843,0.9026258205689278,0.8836218375499334,0.8951321279554938,0.8898094449047225
remove_outliers_lof + features_selection_extratrees + oversampling_svm_smote,0.9020804438280167,0.9061201883134865,0.8761210762331839,0.8994708994708994,0.8930957683741648,0.8776824034334764,0.8963788300835656,0.8864653243847874
remove_outliers_lof + features_selection_extratrees + oversampling_adasyn,0.889582741981266,0.8947818648417452,0.8660739891023802,0.9009762900976289,0.8953391013117499,0.8834224598930481,0.8799543769603649,0.8702158273381295
remove_outliers_lof + features_selection_extratrees + oversampling_smote_borderline,0.8958509737510584,0.8856067187952504,0.8695652173913043,0.8940452893486163,0.8859174964438122,0.875033593120129,0.8905191873589166,0.8710881424059719
remove_outliers_lof + features_selection_mutual_information + oversampling_none,0.9148471615720524,0.9235357917570499,0.8696393070150525,0.924871168972064,0.9056501757231684,0.8777895855472901,0.912616056799563,0.8849416755037115
remove_outliers_lof + features_selection_mutual_information + oversampling_smote,0.916597853014038,0.9213051823416507,0.8775510204081634,0.9242632883503167,0.9057649667405765,0.8805298013245033,0.9153570443893023,0.8853644963828603
remove_outliers_lof + features_selection_mutual_information + oversampling_svm_smote,0.9066666666666667,0.9045736871823828,0.8530092592592592,0.9028409090909092,0.8996074032529444,0.8812749003984064,0.9083842309827873,0.8885191347753745
remove_outliers_lof + features_selection_mutual_information + oversampling_adasyn,0.9060402684563758,0.9112097669256383,0.8714697406340057,0.9007153075822605,0.8936291240045506,0.8679039301310044,0.9074228523769808,0.8718095784341842
remove_outliers_lof + features_selection_mutual_information + oversampling_smote_borderline,0.9060927892677474,0.9115266536421993,0.8527948492829966,0.8955996548748922,0.8822850548182343,0.8652949245541838,0.9050279329608938,0.8693409742120344
remove_outliers_lof + features_selection_rfe + oversampling_none,0.9168724279835392,0.9255434782608697,0.8751412429378531,0.9288246523043359,0.8981779206859593,0.8729641693811074,0.9147371288477254,
remove_outliers_lof + features_selection_rfe + oversampling_smote,0.9178345699367958,0.9220208676551345,0.8626891236083356,0.9285714285714286,0.8945030538589672,0.8835708523796719,0.9187414500683995,
remove_outliers_lof + features_selection_rfe + oversampling_svm_smote,0.9204859193815571,0.9252183406113537,0.8810992708917555,0.924022346368715,0.8927471296555586,0.8753733369535704,0.9143958161299202,
remove_outliers_lof + features_selection_rfe + oversampling_adasyn,0.9178501810080757,0.9232468249585863,0.8554042306577805,0.9224719101123595,0.8940774487471527,0.8710648781823159,0.9099473538376281,
remove_outliers_lof + features_selection_rfe + oversampling_smote_borderline,0.9189640768588136,0.9186923721709975,0.8630254503860452,0.9270746018440904,0.8911680911680911,0.8713738368910783,0.9136075075903946,
remove_outliers_lof + features_selection_variance_threshold + oversampling_none,0.9165757906215921,0.9150219298245614,0.8785413744740533,0.9278294149808638,0.8885383806519453,0.8445190156599554,0.9164847161572053,
remove_outliers_lof + features_selection_variance_threshold + oversampling_smote,0.9156693570832175,0.9068668334723381,0.8681907987581146,0.9208113364823562,0.8968584931887684,0.857698721511951,0.9179698216735255,
remove_outliers_lof + features_selection_variance_threshold + oversampling_svm_smote,0.918259905791078,0.9087346024636058,0.8735042735042735,0.9230769230769231,0.8901408450704226,0.85466741196199,0.9166895793236184,
remove_outliers_lof + features_selection_variance_threshold + oversampling_adasyn,0.91208484510187,0.9044550294200054,0.8712591756070016,0.9202898550724639,0.8874434389140272,0.8384527872582481,0.9156094870380584,
remove_outliers_lof + features_selection_variance_threshold + oversampling_smote_borderline,0.914970727627544,0.9131886477462439,0.8707674943566592,0.9234184239733628,0.8878159613746095,0.8427316520260697,0.9140346058775062,
remove_outliers_dbscan + features_selection_none + oversampling_none,,,,,,,0.0,
