Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,Percent of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,label
0.0,21.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,0.0,1.0,26.17878687,64.0,41.24,1.685446792,12.0,0.0,100.0,0.0
0.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,25.56163332,174.0,64.55,2.6381084,12.0,0.0,100.0,0.0
0.0,21.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,10.11326162,65.0,28.06,1.146790422,12.0,0.0,100.0,0.0
0.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,37.56492218,59.0,4.27,0.174511586,12.0,0.0,100.0,0.0
1.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,14.18719096,47.0,19.12,0.78141956,10.0,2.0,83.33333333,0.0
0.0,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,30.58882319,46.0,31.14,1.272667631,12.0,0.0,100.0,0.0
0.0,19.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,5.39560738,64.0,20.63,0.843132088,9.0,3.0,75.0,0.0
1.0,37.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,69.0102332,95.0,21.93,0.896262079,12.0,0.0,100.0,0.0
1.0,20.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,1.0,56.31296563,31.0,15.07,0.615899204,10.0,2.0,83.33333333,0.0
0.0,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,9.025371991,57.0,28.5,1.16477288,12.0,0.0,100.0,0.0
